Node,GEN,KILL,IN,OUT
B56,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B57,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B58,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B59,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B60,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B61,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B62,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B63,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B64,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B65,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B66,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B67,-,-,"D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D6, D7, D8"
B68,D24,"D1, D20, D3, D5, D9","D10, D11, D12, D13, D14, D16, D18, D20, D21, D23, D24, D25, D26, D27, D6, D7, D8","D10, D11, D12, D13, D14, D16, D18, D21, D23, D24, D25, D26, D27, D6, D7, D8"
B69,"D25, D26, D27","D13, D14","D10, D11, D12, D13, D14, D16, D18, D21, D23, D24, D25, D26, D27, D6, D7, D8","D10, D11, D12, D16, D18, D21, D23, D24, D25, D26, D27, D6, D7, D8"
B70,-,-,-,-
\n,-,-,-,-

Definition Mapping
D1,i
D2,i
D3,i
D4,i
D5,i
D6,val
D7,val
D8,sum
D9,i
D10,sum
D11,
D12,id
D13,newQty
D14,newPrice
D15,idx
D16,qty
D17,idx
D18,price
D19,idx
D20,i
D21,idx
D22,found
D23,found
D24,i
D25,id
D26,newQty
D27,newPrice
